"committee","motiondate","motionname_ch","motionname_en","mover","movertype","motionresult","andrewleung","jamesto","leungyiuchung","abrahamshek","tommycheung","josephlee","jeffreylam","wongtingkwong","starrylee","chanhakkan","chankinpor","priscillaleung","wongkwokkin","reginaip","paultse","leungkwokhung","claudiamo","michaeltien","stevenho","frankieyick","wuchiwai","yiusiwing","mafungkwok","charlespetermok","chanchichuen","chanhanpan","leungchecheung","kennethleung","alicemak","kwokkaki","kwokwaikeung","denniskwok","christophercheung","fernandocheung","helenawong","ipkinyuen","elizabethquat","martinliao","poonsiuping","chianglaiwan","lowaikwok","chungkwokpan","alvinyeung","andrewwan","chuhoidick","jimmyng","juniusho","hokaiming","lamcheukting","holdenchow","shiukafai","shiukachun","wilsonor","yunghoiyan","pierrechan","chanchunying","tanyachan","cheungkwokkwan","huichifung","lukchunghung","laukwokfan","kennethlau","chengchungtai","kwongchunyu","jeremytam","nathanlaw","yiuchungyim","lausiulai","sixtusleung","yauwaiching","garyfan","aunokhin","vincentcheng","tonytse","chanhoiyan","eddiechu"
"council",2016-11-10,"根據《立法會(權力及特權)條例》動議的議案","motion under the legislative council (powers and privileges) ordinance","lamcheukting","member","negatived","present","yes","absent","absent","no","present","no","no","no","no","no","no","no","absent","no","yes","yes","absent","no","no","yes","no","no","yes","yes","no","no","yes","no","absent","no","yes","no","yes","yes","yes","no","no","no","no","no","absent","yes","yes","yes","no","absent","no","yes","no","no","yes","no","absent","absent","absent","absent","no","absent","no","no","absent","yes","yes","yes","yes","yes","present","absent","absent",NA,NA,NA,NA,NA,NA
"council",2016-11-16,"吳永嘉議員對黃國健議員的「取消強制性公積金對沖機制」議案作出的修正案","amendment by hon jimmy ng to hon wong kwok-kin's motion on “abolishing the mandatory provident fund offsetting mechanism”","jimmyng","member","negatived","present","no","no","absent","yes","no","absent","no","no","no","yes","abstain","no","yes","yes","no","no","no","no","yes","no","yes","abstain","absent","no","no","no","absent","no","no","no","absent","absent","no","no","no","no","yes","no","no","abstain","absent","no","no","no","yes","no","no","no","no","yes","no","no","yes","no","abstain","absent","no","no","no","no","abstain","absent","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-16,"蔣麗芸議員對黃國健議員的「取消強制性公積金對沖機制」議案作出的修正案","amendment by dr hon chiang lai-wan to hon wong kwok-kin's motion on “abolishing the mandatory provident fund offsetting mechanism”","chianglaiwan","member","negatived","present","yes","no","absent","abstain","yes","absent","yes","yes","yes","abstain","no","yes","yes","no","yes","no","abstain","yes","abstain","yes","no","yes","absent","yes","yes","yes","absent","yes","no","yes","absent","absent","no","yes","yes","yes","no","yes","yes","no","absent","no","yes","abstain","no","yes","yes","yes","yes","abstain","no","yes","yes","yes","abstain","absent","yes","yes","yes","yes","no","absent","yes","no","no","no","abstain",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-16,"尹兆堅議員對黃國健議員的「取消強制性公積金對沖機制」議案作出的修正案","amendment by hon andrew wan to hon wong kwok-kin's motion on “abolishing the mandatory provident fund offsetting mechanism”","andrewwan","member","negatived","present","yes","yes","absent","no","yes","absent","no","no","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","abstain","absent","yes","no","no","absent","yes","yes","yes","absent","absent","yes","yes","yes","no","no","yes","no","no","absent","yes","yes","yes","no","yes","yes","yes","no","no","yes","no","no","yes","no","absent","no","yes","yes","no","no","absent","yes","yes","yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-16,"張超雄議員對黃國健議員的「取消強制性公積金對沖機制」議案作出的修正案","amendment by dr hon fernando cheung to hon wong kwok-kin's motion on “abolishing the mandatory provident fund offsetting mechanism”","fernandocheung","member","negatived","present","yes","yes","absent","no","yes","absent","no","no","no","no","no","abstain","no","no","yes","yes","no","no","no","yes","no","no","absent","yes","no","no","absent","abstain","yes","abstain","absent","absent","yes","yes","yes","no","no","yes","no","no","absent","yes","yes","yes","no","no","abstain","yes","no","no","yes","no","no","no","no","absent","no","yes","abstain","no","no","absent","yes","yes","yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-16,"劉小麗議員對黃國健議員的「取消強制性公積金對沖機制」議案作出的修正案","amendment by dr hon lau siu-lai to hon wong kwok-kin's motion on “abolishing the mandatory provident fund offsetting mechanism”","lausiulai","member","negatived","present","yes","yes","absent","no","yes","absent","abstain","abstain","abstain","abstain","no","present","no","no","yes","yes","no","abstain","no","yes","no","no","absent","yes","abstain","abstain","absent","present","yes","present","absent","absent","yes","yes","yes","abstain","no","yes","abstain","no","absent","yes","yes","yes","no","yes","present","yes","abstain","no","yes","abstain","no","yes","abstain","absent","abstain","yes","present","present","no","absent","yes","yes","yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-16,"田北辰議員對黃國健議員的「取消強制性公積金對沖機制」議案作出的修正案","amendment by hon michael tien to hon wong kwok-kin's motion on “abolishing the mandatory provident fund offsetting mechanism”","michaeltien","member","negatived","present","no","no","absent","no","no","absent","abstain","abstain","abstain","abstain","no","no","absent","no","no","no","yes","abstain","no","no","no","abstain","absent","no","abstain","abstain","absent","no","no","no","absent","absent","no","no","no","abstain","no","no","abstain","no","absent","no","no","no","abstain","abstain","no","no","abstain","no","no","abstain","absent","no","abstain","absent","abstain","no","no","abstain","no","absent","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-16,"「取消強制性公積金對沖機制」議案","motion on “abolishing the mandatory provident fund offsetting mechanism”","wongkwokkin","member","passed","present","yes","yes","absent","no","yes","absent","yes","yes","yes","abstain","no","yes","yes","no","yes","yes","no","yes","no","yes","no","abstain","absent","yes","yes","yes","absent","yes","yes","yes","absent","absent","yes","yes","yes","yes","no","yes","yes","no","absent","yes","yes","yes","no","yes","yes","yes","yes","no","yes","yes","yes","yes","abstain","absent","yes","yes","yes","yes","no","absent","yes","yes","yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-16,"葉建源議員對張國鈞議員的「規定初中中國歷史獨立成科」議案作出的修正案","amendment by hon ip kin-yuen to hon cheung kwok-kwan's motion on “requiring the teaching of chinese history as an independent subject at junior secondary level”","ipkinyuen","member","negatived","present","yes","yes","absent","absent","yes","no","no","no","no","no","no","abstain","no","yes","yes","yes","no","no","yes","yes","abstain","no","yes","yes","no","no","yes","abstain","yes","abstain","yes","no","absent","yes","yes","no","abstain","abstain","no","no","yes","yes","yes","abstain","absent","no","abstain","yes","no","yes","yes","no","no","yes","abstain","yes","no","yes","abstain","no","no","abstain","yes","yes","abstain","yes","absent",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-16,"葉劉淑儀議員對張國鈞議員的「規定初中中國歷史獨立成科」議案作出的修正案","amendment by hon mrs regina ip to hon cheung kwok-kwan's motion on “requiring the teaching of chinese history as an independent subject at junior secondary level”","reginaip","member","passed","present","no","no","absent","absent","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","yes","abstain","no","yes","yes","no","no","yes","yes","no","yes","abstain","yes","no","yes","absent","no","no","yes","yes","yes","yes","yes","abstain","abstain","no","no","absent","yes","yes","no","yes","abstain","no","yes","yes","yes","yes","abstain","yes","no","yes","yes","yes","abstain","no","abstain","no","no","absent",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-16,"張國鈞議員動議，經葉劉淑儀議員修正的「規定初中中國歷史獨立成科」議案","motion moved by hon cheung kwok-kwan on “requiring the teaching of chinese history as an independent subject at junior secondary level” as amended by hon mrs regina ip","cheungkwokkwan","member","passed","present","no","no","absent","absent","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","yes","yes","no","yes","yes","no","no","yes","yes","no","yes","no","yes","no","yes","absent","no","no","yes","yes","yes","yes","yes","yes","no","no","no","absent","yes","yes","no","yes","yes","no","yes","yes","yes","yes","no","yes","no","yes","yes","yes","abstain","no","no","no","no","absent",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-17,"陳恒鑌議員對梁美芬議員的「促請政府修改《消防安全(建築物)條例》」議案作出的修正案","amendment by hon chan han-pan to dr hon priscilla leung's motion on “urging the government to amend the fire safety (buildings) ordinance”","chanhanpan","member","passed","present","yes","absent","absent","abstain","no","yes","yes","yes","yes","yes","yes","yes","absent","absent","no","no","absent","yes","abstain","absent","yes","absent","no","no","yes","yes","absent","yes","no","absent","absent","yes","yes","yes","no","yes","absent","yes","yes","yes","abstain","absent","yes","abstain","yes","yes","yes","yes","yes","abstain","absent","yes","absent","no","yes","no","yes","yes","yes","absent","absent","yes","yes","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-24,"邵家輝議員對容海恩議員的「力促市場健康競爭，制衡領展獨大局面」議案作出的修正案","amendment by hon shiu ka-fai to hon yung hoi-yan's motion on “vigorously promoting healthy market competition to counteract the market dominance of link reit”","shiukafai","member","negatived","present","no","no","yes","yes","no","yes","no","no","no","yes","absent","yes","no","absent","no","no","no","absent","absent","no","yes","yes","no","no","no","absent","absent","yes","no","absent","no","absent","no","absent","no","no","yes","yes","no","yes","yes","no","no","no","yes","yes","yes","no","no","yes","absent","no","no","yes","yes","no","absent","no","yes","no","absent","absent","no","no","absent","absent","no",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-24,"尹兆堅議員對容海恩議員的「力促市場健康競爭，制衡領展獨大局面」議案作出的修正案","amendment by hon andrew wan to hon yung hoi-yan's motion on “vigorously promoting healthy market competition to counteract the market dominance of link reit”","andrewwan","member","passed","present","yes","yes","no","no","yes","no","yes","yes","yes","no","absent","yes","yes","absent","yes","yes","yes","yes","absent","yes","no","no","yes","yes","yes","absent","yes","yes","yes","yes","yes","absent","yes","absent","yes","yes","no","yes","yes","no","no","yes","yes","yes","no","no","yes","yes","yes","no","absent","yes","yes","yes","no","yes","absent","yes","yes","yes","absent","absent","yes","yes","absent","absent","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-24,"柯創盛議員對容海恩議員就「力促市場健康競爭，制衡領展獨大局面」所提，經尹兆堅議員修正的議案，作出的修正案","amendment by hon wilson or to hon yung hoi-yan's motion on “vigorously promoting healthy market competition to counteract the market dominance of link reit” as amended by hon andrew wan","wilsonor","member","negatived","present","yes","yes","no","no","no","no","yes","yes","yes","no","absent","yes","yes","absent","no","no","yes","yes","absent","yes","no","no","no","no","yes","absent","no","yes","no","yes","no","no","yes","absent","yes","yes","no","yes","yes","no","no","no","yes","abstain","no","abstain","yes","yes","yes","no","absent","yes","yes","yes","no","no","absent","yes","yes","yes","absent","absent","yes","no","absent","absent","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-24,"張超雄議員對容海恩議員就「力促市場健康競爭，制衡領展獨大局面」所提，經尹兆堅議員修正的議案，作出的修正案","amendment by dr hon fernando cheung to hon yung hoi-yan's motion on “vigorously promoting healthy market competition to counteract the market dominance of link reit” as amended by hon andrew wan","fernandocheung","member","negatived","present","yes","yes","no","no","yes","no","yes","yes","yes","no","absent","yes","no","absent","yes","yes","no","yes","absent","yes","no","no","no","yes","yes","absent","no","yes","yes","yes","yes","no","yes","absent","yes","yes","no","abstain","yes","no","no","yes","yes","yes","no","abstain","yes","yes","yes","no","absent","yes","no","yes","no","yes","absent","yes","yes","yes","absent","yes","yes","yes","absent","absent","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-24,"容海恩議員動議，經尹兆堅議員修正的「力促市場健康競爭，制衡領展獨大局面」議案","motion moved by hon yung hoi-yan on “vigorously promoting healthy market competition to counteract the market dominance of link reit” as amended by hon andrew wan","yunghoiyan","member","passed","present","yes","yes","no","no","yes","no","yes","yes","yes","yes","absent","yes","yes","absent","yes","yes","yes","yes","absent","yes","abstain","no","yes","yes","yes","absent","yes","yes","yes","yes","yes","no","yes","absent","yes","yes","no","yes","yes","no","no","yes","yes","abstain","yes","yes","yes","yes","yes","no","absent","yes","yes","yes","yes","yes","absent","yes","yes","yes","absent","absent","yes","yes","absent","absent","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-24,"張超雄議員對劉國勳議員的「強化區議會的角色及職能」議案作出的修正案","amendment by dr hon fernando cheung to hon lau kwok-fan's motion on “strengthening the role and functions of district councils”","fernandocheung","member","negatived","present","absent","yes","absent","no","yes","no","no","no","no","no","absent","absent","abstain","no","yes","yes","absent","no","absent","yes","no","no","yes","yes","no","absent","absent","no","absent","no","yes","absent","yes","yes","yes","no","no","abstain","no","no","no","absent","absent","yes","no","absent","no","yes","no","absent","absent","no","abstain","yes","no","yes","absent","yes","absent","no","absent","yes","yes","yes","absent","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-24,"胡志偉議員對劉國勳議員的「強化區議會的角色及職能」議案作出的修正案","amendment by hon wu chi-wai to hon lau kwok-fan's motion on “strengthening the role and functions of district councils”","wuchiwai","member","passed","present","absent","yes","absent","no","yes","no","yes","yes","yes","no","absent","absent","no","abstain","yes","yes","absent","yes","absent","yes","no","no","yes","yes","yes","absent","absent","abstain","absent","abstain","yes","absent","yes","yes","yes","yes","no","yes","yes","no","no","absent","absent","yes","no","absent","abstain","yes","yes","no","absent","yes","no","yes","no","yes","absent","yes","absent","yes","absent","yes","yes","yes","absent","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-24,"許智峯議員對劉國勳議員就「強化區議會的角色及職能」所提，經胡志偉議員修正的議案，作出的修正案","amendment by hon hui chi-fung to hon lau kwok-fan's motion on “strengthening the role and functions of district councils” as amended by hon wu chi-wai","huichifung","member","negatived","present","absent","yes","absent","no","yes","no","no","no","no","no","absent","absent","no","no","yes","yes","absent","no","absent","yes","no","no","yes","yes","no","absent","absent","no","absent","no","yes","absent","yes","yes","yes","no","no","no","no","no","no","absent","absent","yes","no","absent","no","absent","no","no","absent","no","no","abstain","no","yes","absent","yes","absent","no","absent","yes","yes","yes","absent","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-30,"張華峰議員動議，經涂謹申議員修正的「制訂全面上巿政策」議案","motion moved by hon christopher cheung on “formulating a comprehensive listing policy” as amended by hon james to","christophercheung","member","passed","present","yes","yes","yes","yes","absent","yes","yes","yes","yes","yes","yes","absent","yes","yes","no","yes","yes","yes","yes","yes","yes","absent","yes","yes","absent","yes","yes","yes","yes","yes","yes","yes","yes","absent","yes","yes","yes","yes","absent","yes","yes","yes","yes","abstain","yes","absent","yes","absent","yes","yes","absent","yes","yes","yes","yes","yes","yes","yes","yes","yes","absent","absent","yes","yes","absent","no","abstain",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-01,"何啟明議員對周浩鼎議員的「打擊‘假難民’」議案作出的修正案","amendment by hon ho kai-ming to hon holden chow's motion on “combating ‘bogus refugees’”","hokaiming","member","passed","present","no","absent","absent","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","absent","yes","no","yes","yes","no","no","yes","yes","no","yes","no","yes","no","yes","absent","no","no","yes","yes","yes","yes","yes","yes","no","absent","no","yes","yes","yes","no","yes","yes","no","yes","yes","yes","yes","no","yes","no","yes","yes","absent","no","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-01,"縮短點名表決響鐘時間的議案","motion to shorten duration of division bell","starrylee","member","passed","present","yes","absent","absent","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","absent","yes","yes","yes","yes","yes","abstain","yes","yes","yes","yes","yes","yes","yes","yes","absent","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","absent","abstain","yes","yes","yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-01,"容海恩議員對周浩鼎議員就「打擊‘假難民’」所提，經何啟明議員修正的議案，作出的修正案","amendment by hon yung hoi-yan to hon holden chow's motion on “combating ‘bogus refugees’” as amended by hon ho kai-ming","yunghoiyan","member","negatived","present","no","absent","absent","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","absent","yes","no","yes","yes","no","no","yes","yes","no","yes","no","yes","no","yes","absent","no","no","yes","yes","yes","yes","yes","yes","no","no","no","yes","yes","yes","no","yes","yes","no","yes","yes","yes","yes","no","yes","no","yes","yes","absent","no","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-01,"梁美芬議員對周浩鼎議員就「打擊‘假難民’」所提，經何啟明議員修正的議案，作出的修正案","amendment by dr hon priscilla leung to hon holden chow's motion on “combating ‘bogus refugees’” as amended by hon ho kai-ming","priscillaleung","member","negatived","present","no","no","absent","yes","no","yes","abstain","abstain","abstain","yes","yes","yes","abstain","no","no","no","abstain","absent","yes","no","yes","yes","no","no","abstain","abstain","no","yes","no","yes","no","yes","absent","no","no","abstain","yes","yes","abstain","yes","yes","no","no","no","yes","yes","yes","no","abstain","yes","no","abstain","abstain","no","yes","no","abstain","no","yes","abstain","absent","no","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-01,"周浩鼎議員動議，經何啟明議員修正的「打擊‘假難民’」議案","motion moved by hon holden chow on “combating ‘bogus refugees’” as amended by hon ho kai-ming","holdenchow","member","negatived","present","no","no","absent","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","absent","yes","no","yes","yes","no","no","yes","yes","no","yes","no","yes","no","yes","absent","no","no","yes","yes","yes","yes","yes","yes","no","no","no","yes","yes","yes","no","yes","yes","no","yes","yes","yes","yes","no","yes","no","yes","yes","absent","no","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-01,"根據《議事規則》第90(2)條，動議拒絕給予許可的議案","motion under rule 90(2) of the rules of procedure that the leave sought be refused","yiuchungyim","member","negatived","present","yes","yes","no","no","absent","no","no","no","no","no","no","no","no","no","absent","yes","no","no","no","yes","no","absent","yes","yes","no","no","yes","no","yes","no","yes","no","absent","yes","yes","no","no","no","no","no","no","yes","yes","yes","no","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","absent","yes","yes","yes","yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-07,"郭偉强議員對謝偉俊議員的「制訂房屋政策　紓緩殷切住屋需求」議案作出的修正案","amendment by hon kwok wai-keung to hon paul tse's motion on “formulating a housing policy to alleviate the keen housing demand”","kwokwaikeung","member","negatived","present","abstain","abstain","no","no","absent","no","yes","yes","yes","no","no","yes","no","no","abstain","yes","abstain","absent","no","abstain","no","no","no","abstain","yes","yes","no","yes","yes","yes","yes","absent","abstain","abstain","abstain","yes","no","yes","absent","no","absent","yes","abstain","abstain","absent","yes","yes","abstain","yes","no","abstain","yes","no","yes","no","yes","yes","abstain","yes","yes","absent","yes","abstain","yes","abstain","no","abstain",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-07,"梁耀忠議員對謝偉俊議員的「制訂房屋政策　紓緩殷切住屋需求」議案作出的修正案","amendment by hon leung yiu-chung to hon paul tse's motion on “formulating a housing policy to alleviate the keen housing demand”","leungyiuchung","member","negatived","present","yes","yes","no","no","absent","no","no","no","no","no","no","abstain","no","no","yes","yes","no","absent","no","yes","abstain","no","abstain","yes","no","no","abstain","abstain","yes","abstain","yes","absent","yes","yes","yes","no","no","yes","absent","no","absent","yes","yes","yes","absent","abstain","abstain","yes","no","no","yes","no","no","yes","abstain","yes","no","yes","abstain","no","absent","yes","yes","yes","yes","abstain","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-07,"柯創盛議員對謝偉俊議員的「制訂房屋政策　紓緩殷切住屋需求」議案作出的修正案","amendment by hon wilson or to hon paul tse's motion on “formulating a housing policy to alleviate the keen housing demand”","wilsonor","member","negatived","present","abstain","no","yes","yes","absent","yes","yes","yes","yes","abstain","yes","yes","no","yes","no","no","abstain","absent","yes","abstain","no","abstain","no","no","yes","yes","no","yes","no","yes","no","absent","no","abstain","abstain","yes","abstain","yes","absent","yes","absent","no","abstain","no","absent","yes","yes","abstain","yes","yes","no","yes","no","yes","abstain","no","yes","abstain","yes","yes","absent","yes","abstain","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-07,"郭家麒議員對謝偉俊議員的「制訂房屋政策　紓緩殷切住屋需求」議案作出的修正案","amendment by dr hon kwok ka-ki to hon paul tse's motion on “formulating a housing policy to alleviate the keen housing demand”","kwokkaki","member","negatived","present","yes","yes","no","no","absent","no","no","no","no","no","no","abstain","abstain","no","yes","yes","no","absent","no","yes","no","no","yes","yes","no","no","yes","abstain","yes","abstain","yes","absent","yes","yes","yes","no","no","abstain","absent","no","absent","yes","yes","abstain","absent","abstain","abstain","yes","no","no","yes","no","abstain","yes","no","yes","no","yes","abstain","no","absent","yes","yes","yes","yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-07,"姚松炎議員對謝偉俊議員的「制訂房屋政策　紓緩殷切住屋需求」議案作出的修正案","amendment by dr hon yiu chung-yim to hon paul tse's motion on “formulating a housing policy to alleviate the keen housing demand”","yiuchungyim","member","negatived","present","abstain","yes","abstain","no","absent","abstain","abstain","abstain","abstain","no","abstain","abstain","no","yes","yes","yes","no","absent","no","abstain","abstain","no","yes","yes","abstain","abstain","yes","abstain","yes","abstain","yes","absent","yes","abstain","abstain","abstain","no","abstain","absent","abstain","absent","yes","abstain","yes","absent","no","abstain","abstain","abstain","no","yes","abstain","no","yes","abstain","yes","abstain","abstain","abstain","abstain","absent","yes","abstain","yes","yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-07,"尹兆堅議員對謝偉俊議員的「制訂房屋政策　紓緩殷切住屋需求」議案作出的修正案","amendment by hon andrew wan to hon paul tse's motion on “formulating a housing policy to alleviate the keen housing demand”","andrewwan","member","negatived","present","yes","no","no","yes","absent","no","no","no","no","no","no","yes","no","yes","no","yes","yes","absent","yes","yes","no","no","yes","abstain","no","no","yes","yes","abstain","yes","abstain","absent","no","yes","yes","no","no","yes","absent","no","absent","abstain","yes","no","absent","abstain","yes","yes","no","yes","no","no","yes","yes","abstain","abstain","no","yes","yes","no","absent","yes","yes","abstain","abstain","yes","abstain",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-07,"張超雄議員對謝偉俊議員的「制訂房屋政策　紓緩殷切住屋需求」議案作出的修正案","amendment by dr hon fernando cheung to hon paul tse's motion on “formulating a housing policy to alleviate the keen housing demand”","fernandocheung","member","negatived","present","no","yes","absent","no","absent","no","no","no","no","no","no","abstain","no","no","yes","yes","abstain","absent","no","no","no","no","no","yes","no","no","abstain","abstain","yes","abstain","yes","absent","yes","no","abstain","no","no","abstain","absent","no","absent","yes","no","yes","absent","abstain","abstain","no","no","no","yes","no","no","yes","no","yes","no","no","abstain","no","absent","yes","no","yes","yes","abstain","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-08,"麥美娟議員對陳恒鑌議員的「更新《香港規劃標準與準則》及增加社區設施以優化生活環境」議案作出的修正案","amendment by hon alice mak to hon chan han-pan's motion on “updating the hong kong planning standards and guidelines and increasing community facilities to enhance living environment”","alicemak","member","passed","present","yes","yes","absent","yes","yes","absent","absent","abstain","abstain","yes","yes","yes","absent","yes","yes","yes","absent","absent","yes","yes","yes","yes","yes","yes","abstain","abstain","yes","yes","yes","yes","yes","absent","yes","yes","yes","abstain","yes","absent","abstain","yes","absent","yes","yes","yes","yes","yes","yes","yes","abstain","yes","yes","abstain","yes","yes","yes","yes","abstain","yes","yes","absent","absent","yes","yes","absent","abstain","yes","abstain",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-08,"盧偉國議員對陳恒鑌議員就「更新《香港規劃標準與準則》及增加社區設施以優化生活環境」所提，經麥美娟議員修正的議案，作出的修正案","amendment by ir dr hon lo wai-kwok to hon chan han-pan's motion on “updating the hong kong planning standards and guidelines and increasing community facilities to enhance living environment” as amended by hon alice mak","lowaikwok","member","passed","present","yes","no","absent","yes","no","absent","absent","yes","yes","yes","yes","yes","absent","yes","no","yes","absent","absent","yes","yes","yes","yes","yes","no","yes","yes","no","yes","abstain","yes","abstain","absent","no","yes","abstain","yes","yes","absent","yes","yes","absent","abstain","yes","no","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","abstain","yes","yes","yes","absent","absent","yes","yes","absent","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-08,"易志明議員對陳恒鑌議員就「更新《香港規劃標準與準則》及增加社區設施以優化生活環境」所提，經麥美娟議員及盧偉國議員修正的議案，作出的修正案","amendment by hon frankie yick to hon chan han-pan's motion on “updating the hong kong planning standards and guidelines and increasing community facilities to enhance living environment” as amended by hon alice mak and ir dr hon lo wai-kwok","frankieyick","member","passed","present","yes","no","absent","yes","abstain","absent","absent","yes","yes","yes","yes","yes","absent","yes","no","yes","absent","absent","yes","yes","yes","yes","yes","no","yes","yes","abstain","yes","abstain","yes","abstain","absent","no","yes","yes","yes","yes","absent","yes","yes","absent","abstain","yes","no","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","abstain","yes","yes","yes","absent","absent","yes","yes","absent","no","abstain","no",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-08,"陳淑莊議員對陳恒鑌議員就「更新《香港規劃標準與準則》及增加社區設施以優化生活環境」所提，經麥美娟議員、盧偉國議員及易志明議員修正的議案，作出的修正案","amendment by hon tanya chan to hon chan han-pan's motion on “updating the hong kong planning standards and guidelines and increasing community facilities to enhance living environment” as amended by hon alice mak, ir dr hon lo wai-kwok and hon frankie yick","tanyachan","member","negatived","present","yes","no","absent","yes","yes","absent","absent","no","no","no","no","yes","absent","yes","abstain","yes","absent","absent","yes","yes","abstain","abstain","yes","yes","no","no","yes","yes","yes","yes","yes","absent","no","yes","yes","no","abstain","absent","no","no","absent","yes","yes","no","no","abstain","yes","yes","no","yes","no","no","no","yes","abstain","yes","no","yes","yes","absent","absent","yes","yes","absent","abstain","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-12-08,"尹兆堅議員對陳恒鑌議員就「更新《香港規劃標準與準則》及增加社區設施以優化生活環境」所提，經麥美娟議員、盧偉國議員及易志明議員修正的議案，作出的修正案","amendment by hon andrew wan to hon chan han-pan's motion on “updating the hong kong planning standards and guidelines and increasing community facilities to enhance living environment” as amended by hon alice mak, ir dr hon lo wai-kwok and hon frankie yick","andrewwan","member","passed","present","yes","no","absent","yes","yes","absent","absent","yes","yes","no","abstain","yes","absent","no","abstain","yes","absent","absent","yes","yes","abstain","no","yes","abstain","yes","yes","yes","yes","abstain","yes","abstain","absent","no","yes","yes","yes","abstain","absent","yes","abstain","absent","abstain","yes","no","no","abstain","yes","yes","yes","yes","no","yes","abstain","yes","abstain","abstain","yes","yes","yes","absent","absent","yes","yes","absent","abstain","yes","no",NA,NA,NA,NA,NA,NA,NA,NA
