"committee","motiondate","motionname_ch","motionname_en","mover","movertype","motionresult","andrewleung","jamesto","leungyiuchung","abrahamshek","tommycheung","josephlee","jeffreylam","wongtingkwong","starrylee","chanhakkan","chankinpor","priscillaleung","wongkwokkin","reginaip","paultse","leungkwokhung","claudiamo","michaeltien","stevenho","frankieyick","wuchiwai","yiusiwing","mafungkwok","charlespetermok","chanchichuen","chanhanpan","leungchecheung","kennethleung","alicemak","kwokkaki","kwokwaikeung","denniskwok","christophercheung","fernandocheung","helenawong","ipkinyuen","elizabethquat","martinliao","poonsiuping","chianglaiwan","lowaikwok","chungkwokpan","alvinyeung","andrewwan","chuhoidick","jimmyng","juniusho","hokaiming","lamcheukting","holdenchow","shiukafai","shiukachun","wilsonor","yunghoiyan","pierrechan","chanchunying","tanyachan","cheungkwokkwan","huichifung","lukchunghung","laukwokfan","kennethlau","chengchungtai","kwongchunyu","jeremytam","nathanlaw","yiuchungyim","lausiulai","sixtusleung","yauwaiching","garyfan","aunokhin","vincentcheng","tonytse","chanhoiyan","eddiechu"
"council",2019-03-27,"毛孟靜議員對楊岳橋議員的「要求政府擱置設立中港移交逃犯安排」議案作出的修正案","amendment by hon claudia mo to hon alvin yeung's motion on “requesting the government to shelve the formulation of arrangements for the surrender of fugitive offenders between mainland china and hong kong”","claudiamo","member","negatived","present","yes","yes","no","no","absent","no","no","no","no","no","no","no","absent","no",NA,"yes","absent","no","no","yes","no","absent","absent","yes","no","no","yes","no","yes","no","absent","no","yes","yes","yes","no","no","no","no","no","absent","yes","yes","yes","absent","no","no","yes","no","no","yes","no","no","abstain","no","yes","no","yes","no","no","no","yes","yes","yes",NA,NA,NA,NA,NA,"yes","yes","no","no","no",NA
"council",2019-03-27,"涂謹申議員對楊岳橋議員的「要求政府擱置設立中港移交逃犯安排」議案作出的修正案","amendment by hon james to to hon alvin yeung's motion on “requesting the government to shelve the formulation of arrangements for the surrender of fugitive offenders between mainland china and hong kong”","jamesto","member","negatived","present","yes","yes","no","no","absent","no","no","no","no","no","no","no","absent","no",NA,"yes","absent","no","no","yes","no","absent","absent","yes","no","no","yes","no","yes","no","absent","no","yes","yes","yes","no","no","no","no","no","absent","yes","yes","yes","absent","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","yes","yes",NA,NA,NA,NA,NA,"yes","yes","no","no","no",NA
"council",2019-03-27,"「要求政府擱置設立中港移交逃犯安排」議案","motion on “requesting the government to shelve the formulation of arrangements for the surrender of fugitive offenders between mainland china and hong kong”","alvinyeung","member","negatived","present","yes","yes","no","no","absent","no","no","no","no","no","no","no","absent","no",NA,"yes","absent","no","no","yes","no","absent","absent","yes","no","no","yes","no","yes","no","absent","no","yes","yes","yes","no","no","no","no","no","absent","yes","yes","yes","absent","no","no","yes","no","no","yes","no","no","yes","no","yes","no","yes","no","no","no","yes","yes","yes",NA,NA,NA,NA,NA,"yes","yes","no","no","no",NA
"council",2019-03-28,"何啟明議員對葉建源議員的「檢討校本管理的推行」議案作出的修正案","amendment by hon ho kai-ming to hon ip kin-yuen's motion on “reviewing the implementation of school-based management”","hokaiming","member","negatived","present","absent","yes","absent","no","yes","absent","abstain","abstain","abstain","abstain","yes","absent","absent","yes",NA,"yes","yes","abstain","no","absent","abstain","abstain","absent","yes","absent","absent","yes","yes","yes","yes","absent","abstain","yes","yes","yes","abstain","abstain","yes","absent","abstain","absent","yes","yes","absent","abstain","abstain","yes","yes","abstain","no","yes","abstain","abstain","yes","abstain","absent","abstain","absent","yes","abstain","absent","abstain","yes","yes",NA,NA,NA,NA,NA,"yes","yes","abstain","abstain","abstain",NA
"council",2019-03-28,"張國鈞議員對葉建源議員的「檢討校本管理的推行」議案作出的修正案","amendment by hon cheung kwok-kwan to hon ip kin-yuen's motion on “reviewing the implementation of school-based management”","cheungkwokkwan","member","negatived","present","no","no","absent","yes","abstain","absent","yes","yes","yes","yes","yes","absent","absent","yes",NA,"no","yes","yes","yes","absent","yes","yes","absent","no","absent","absent","abstain","yes","no","yes","absent","yes","no","no","abstain","yes","yes","yes","absent","yes","absent","no","no","absent","yes","abstain","yes","no","yes","yes","abstain","yes","yes","abstain","yes","absent","yes","no","yes","yes","absent","no","no","no",NA,NA,NA,NA,NA,"no","no","yes","yes","yes",NA
"council",2019-03-28,"許智峯議員對葉建源議員的「檢討校本管理的推行」議案作出的修正案","amendment by hon hui chi-fung to hon ip kin-yuen's motion on “reviewing the implementation of school-based management”","huichifung","member","negatived","present","yes","yes","absent","no","yes","absent","abstain","abstain","abstain","no","yes","absent","absent","abstain",NA,"yes","yes","abstain","no","absent","no","no","absent","yes","absent","absent","yes","abstain","yes","abstain","absent","no","yes","yes","yes","abstain","no","abstain","absent","no","absent","yes","yes","absent","no","abstain","abstain","yes","abstain","no","yes","abstain","abstain","yes","no","absent","abstain","yes","abstain","abstain","absent","yes","yes","yes",NA,NA,NA,NA,NA,"yes","yes","abstain","no","abstain",NA
"council",2019-03-28,"「檢討校本管理的推行」議案","motion on “reviewing the implementation of school-based management”","ipkinyuen","member","negatived","present","yes","yes","absent","no","yes","absent","abstain","abstain","abstain","no","yes","absent","absent","abstain",NA,"yes","yes","abstain","no","absent","no","abstain","absent","yes","absent","absent","yes","yes","yes","yes","absent","abstain","yes","yes","yes","abstain","no","yes","absent","abstain","absent","yes","yes","absent","abstain","abstain","yes","yes","abstain","no","yes","abstain","abstain","yes","no","absent","abstain","yes","yes","abstain","absent","yes","yes","yes",NA,NA,NA,NA,NA,"yes","yes","abstain","no","abstain",NA
"council",2019-04-03,"「毋忘六四」議案","motion on “not forgetting the 4 june incident”","wuchiwai","member","negatived","present","yes","yes","no","abstain","yes","no","no","no","no","abstain","absent","no","no","abstain",NA,"yes","absent","no","abstain","yes","no","no","yes","yes","no","absent","yes","no","yes","no","absent","no","yes","yes","yes","no","no","no","no","no","abstain","yes","yes","yes","absent","abstain","no","yes","no","abstain","yes","no","no","yes","no","absent","no","yes","no","no","absent","absent","yes","yes",NA,NA,NA,NA,NA,"yes","yes","no","abstain","abstain",NA
"council",2019-04-04,"何啟明議員對麥美娟議員就「要求政府解決民生‘三座大山’」所提，經郭偉强議員修正的議案，作出的修正案","amendment by hon ho kai-ming to hon alice mak's motion on “requesting the government to overcome the ‘three big mountains’ in people’s livelihood” as amended by hon kwok wai-keung","hokaiming","member","passed","present","yes","yes","absent","absent","absent","no","yes","yes","yes","abstain","no","yes","abstain","absent",NA,"yes","yes","yes","no","yes","no","absent","yes","yes","yes","absent","absent","yes","yes","yes","yes","abstain","yes","yes","yes","yes","absent","yes","absent","no","no","yes","yes","yes","abstain","absent","yes","yes","yes","no","yes","yes","abstain","yes","abstain","absent","yes","yes","yes","absent","absent","yes","absent","yes",NA,NA,NA,NA,NA,"yes","yes","yes","absent","yes",NA
"council",2019-04-04,"陸頌雄議員對麥美娟議員就「要求政府解決民生‘三座大山’」所提，經郭偉强議員及何啟明議員修正的議案，作出的修正案","amendment by hon luk chung-hung to hon alice mak's motion on “requesting the government to overcome the ‘three big mountains’ in people’s livelihood” as amended by hon kwok wai-keung and hon ho kai-ming","lukchunghung","member","passed","present","yes","yes","absent","absent","absent","no","yes","yes","yes","yes","abstain","yes","yes","absent",NA,"yes","yes","yes","no","yes","no","absent","yes","yes","yes","absent","absent","yes","yes","yes","yes","no","yes","yes","yes","yes","absent","yes","absent","no","no","yes","yes","yes","abstain","absent","yes","yes","yes","no","yes","yes","yes","yes","abstain","absent","yes","yes","yes","absent","absent","yes","absent","yes",NA,NA,NA,NA,NA,"yes","yes","yes","absent","yes",NA
